,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC4,0.85390369874705,0.85390369874705,0.85390369874705,0.85390369874705,0.7418207498715973,0.7418207498715973,0.7418207498715973,0.7418207498715973,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
case,LC4,0.8855929902685771,0.8527905236907731,0.8688381435806075,400.8,0.7763952591345816,0.7664950495049505,0.7712252899178738,100.2,0.5834889267753602,0.5856,0.5843793498730918,125.0
control,LC4,0.8159117289933171,0.8553498339226401,0.8351042733677401,305.6,0.6982264957264958,0.7095693779904306,0.7035561127340719,76.4,0.4586925742412558,0.45625,0.4572426162426623,96.0
macro avg,LC4,0.850752359630947,0.8540701788067067,0.8519712084741737,706.4,0.7373108774305387,0.7380322137476906,0.7373907013259728,176.6,0.5210907505083081,0.520925,0.5208109830578771,221.0
weighted avg,LC4,0.855444881556948,0.85390369874705,0.8542458441959694,706.4,0.7425999141916119,0.7418207498715973,0.7419376352789675,176.6,0.5292787464890525,0.5294117647058824,0.5291525334544438,221.0
accuracy,LC5,0.8570174419303525,0.8570174419303525,0.8570174419303525,0.8570174419303525,0.7281843862352337,0.7281843862352337,0.7281843862352337,0.7281843862352337,0.5248868778280544,0.5248868778280544,0.5248868778280544,0.5248868778280544
case,LC5,0.8815647570320942,0.8642618453865337,0.8727350475785265,400.8,0.7731312325891235,0.7385544554455445,0.7552240446273009,100.2,0.5782394577538774,0.5904,0.5841019899224233,125.0
control,LC5,0.8266596610114687,0.8475024108003858,0.8368173793296159,305.6,0.6754456259990593,0.7145591250854408,0.6941434836507161,76.4,0.4521647576764964,0.4395833333333333,0.4455597827623661,96.0
macro avg,LC5,0.8541122090217815,0.8558821280934596,0.8547762134540712,706.4,0.7242884292940914,0.7265567902654927,0.7246837641390085,176.6,0.5152021077151869,0.5149916666666667,0.5148308863423947,221.0
weighted avg,LC5,0.8578089455790512,0.8570174419303525,0.8571979549301716,706.4,0.7308779041310725,0.7281843862352337,0.7288085413990354,176.6,0.5234739771772775,0.5248868778280544,0.523920759662851,221.0
accuracy,LC6,0.8176707229606004,0.8176707229606004,0.8176707229606004,0.8176707229606004,0.6828389830508474,0.6828389830508474,0.6828389830508474,0.6828389830508474,0.4832579185520361,0.4832579185520361,0.4832579185520361,0.4832579185520361
case,LC6,0.8565041965087274,0.8153815461346634,0.8353735330571611,400.8,0.7204640594101719,0.7205148514851485,0.7203688982550612,100.2,0.5442708333333333,0.5312,0.5375690017729899,125.0
control,LC6,0.7722865027830342,0.8206835958427087,0.7956660948853237,305.6,0.633871279116814,0.6333902939166097,0.6334532007090553,76.4,0.4080433849836596,0.4208333333333333,0.4142330314919147,96.0
macro avg,LC6,0.8143953496458808,0.818032570988686,0.8155198139712423,706.4,0.6771676692634929,0.676952572700879,0.6769110494820583,176.6,0.4761571091584964,0.4760166666666666,0.4759010166324523,221.0
weighted avg,LC6,0.8200744573400796,0.8176707229606004,0.8181953025916007,706.4,0.683009054230016,0.6828389830508474,0.6827787931281203,176.6,0.4850951091633393,0.4832579185520361,0.4839931956780433,221.0
accuracy,LC7,0.8445604657592428,0.8445604657592428,0.8445604657592428,0.8445604657592428,0.7180855161787365,0.7180855161787365,0.7180855161787365,0.7180855161787365,0.4914027149321267,0.4914027149321267,0.4914027149321267,0.4914027149321267
case,LC7,0.870610776504378,0.8528029925187033,0.8615734938306879,400.8,0.7574420142963832,0.7405346534653465,0.7485895026687184,100.2,0.5513462200491209,0.536,0.5432641189787137,125.0
control,LC7,0.8121630242960929,0.8337490624665167,0.8227541857850167,305.6,0.6700027537611868,0.6885167464114833,0.6787250388295731,76.4,0.418374140812029,0.4333333333333333,0.4253742285244872,96.0
