,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC13,0.8046415649254121,0.8046415649254121,0.8046415649254121,0.8046415649254121,0.7292565485362095,0.7292565485362095,0.7292565485362095,0.7292565485362095,0.4868778280542986,0.4868778280542986,0.4868778280542986,0.4868778280542986
case,LC13,0.8451439081748218,0.8028977556109727,0.8234339317644255,400.8,0.775584920871611,0.7365148514851485,0.7552798758358339,100.2,0.5522652878075364,0.4928,0.5207211809273053,125.0
control,LC13,0.7574405447908455,0.8069259616414872,0.7813410490771246,305.6,0.6757918733758563,0.7196172248803828,0.6966714040222415,76.4,0.4201404164726658,0.4791666666666667,0.4476110603022967,96.0
macro avg,LC13,0.8012922264828337,0.8049118586262299,0.802387490420775,706.4,0.7256883971237337,0.7280660381827657,0.7259756399290377,176.6,0.4862028521401011,0.4859833333333333,0.484166120614801,221.0
weighted avg,LC13,0.807203340272918,0.8046415649254121,0.8052251055659919,706.4,0.7324207678567723,0.7292565485362095,0.7299547761947198,176.6,0.4948716785399003,0.4868778280542986,0.4889629384838627,221.0
accuracy,LC14,0.8346534653465346,0.8346534653465346,0.8346534653465346,0.8346534653465346,0.745178479712378,0.745178479712378,0.745178479712378,0.745178479712378,0.4914027149321266,0.4914027149321266,0.4914027149321266,0.4914027149321266
case,LC14,0.8713603420967985,0.8313403990024938,0.8508535474386607,400.8,0.7892609351432881,0.7503366336633663,0.7687057476093766,100.2,0.5479653954423869,0.5711999999999999,0.5585840596294327,125.0
control,LC14,0.7914375202906659,0.8390035358405659,0.814491472582651,305.6,0.6959164791471976,0.7382091592617909,0.7156445830663334,76.4,0.4099538744312666,0.3875,0.3974096838356274,96.0
macro avg,LC14,0.8313989311937322,0.8351719674215298,0.8326725100106558,706.4,0.7425887071452428,0.7442728964625787,0.7421751653378551,176.6,0.4789596349368266,0.47935,0.4779968717325299,221.0
weighted avg,LC14,0.8367866067430632,0.8346534653465346,0.8351227671180818,706.4,0.7488231603369557,0.745178479712378,0.7457666979053637,176.6,0.4880146894828051,0.4914027149321266,0.4885716610945669,221.0
accuracy,LC15,0.8074700185518349,0.8074700185518349,0.8074700185518349,0.8074700185518349,0.7303864920390344,0.7303864920390344,0.7303864920390344,0.7303864920390344,0.47420814479638,0.47420814479638,0.47420814479638,0.47420814479638
case,LC15,0.8424824041726373,0.8128740648379053,0.8273821900855853,400.8,0.7700365720121194,0.7525346534653465,0.7604836325896697,100.2,0.5360150137575733,0.5232,0.529469208910839,125.0
control,LC15,0.7651805794930674,0.8003642987249545,0.7823341705601429,305.6,0.6825309101291779,0.7015037593984962,0.6909273685611009,76.4,0.3980119234761274,0.4104166666666667,0.404049182231141,96.0
macro avg,LC15,0.8038314918328522,0.8066191817814298,0.8048581803228642,706.4,0.7262837410706486,0.7270192064319214,0.7257055005753853,176.6,0.4670134686168504,0.4668083333333334,0.46675919557099,221.0
weighted avg,LC15,0.809038065619385,0.8074700185518349,0.8078964331862449,706.4,0.7322274899583677,0.7303864920390344,0.7303810520574117,176.6,0.4760679700154068,0.47420814479638,0.4749881113486173,221.0
accuracy,LC16,0.8168184604781805,0.8168184604781805,0.8168184604781805,0.8168184604781805,0.7373202362609143,0.7373202362609143,0.7373202362609143,0.7373202362609143,0.5266968325791855,0.5266968325791855,0.5266968325791855,0.5266968325791855
case,LC16,0.8554199416743765,0.8148728179551121,0.834642742102276,400.8,0.7832801392934633,0.7425346534653465,0.7618753776055376,100.2,0.5887856606782438,0.5424,0.5644823512560475,125.0
control,LC16,0.7714624166313643,0.8193678345655202,0.7946789191390681,305.6,0.6855234188953243,0.7303485987696514,0.706546529215787,76.4,0.4591465260468726,0.50625,0.4813944025981545,96.0
