,LC,precision,recall,f1-score,support
case,LC17,0.6311462482714223,0.5618728179551122,0.5944737187085509,400.8
control,LC17,0.4977371455273669,0.5693539054966249,0.5311188891837346,305.6
macro avg,LC17,0.5644416968993946,0.5656133617258685,0.5627963039461428,706.4
weighted avg,LC17,0.5734321611556668,0.5651089269185923,0.5670656566072408,706.4
accuracy,LC18,0.5478449018515773,0.5478449018515773,0.5478449018515773,0.5478449018515773
case,LC18,0.6095502924707512,0.5663715710723192,0.586954314400493,400.8
control,LC18,0.4790466301274726,0.5235336976320583,0.5000760462678905,305.6
macro avg,LC18,0.544298461299112,0.5449526343521887,0.5435151803341918,706.4
weighted avg,LC18,0.553093495329748,0.5478449018515773,0.5493727984396723,706.4
accuracy,LC19,0.5699304005673735,0.5699304005673735,0.5699304005673735,0.5699304005673735
case,LC19,0.6363978283165043,0.5648703241895261,0.5984699473632104,400.8
control,LC19,0.5025108356365879,0.5765713061180756,0.5369673245518819,305.6
macro avg,LC19,0.5694543319765462,0.5707208151538009,0.5677186359575461,706.4
weighted avg,LC19,0.5784769943946564,0.5699304005673735,0.5718623726417241,706.4
accuracy,LC1,0.5775823312804773,0.5775823312804773,0.5775823312804773,0.5775823312804773
case,LC1,0.6382808490924258,0.5883029925187032,0.6118171817901699,400.8
control,LC1,0.5116342570305384,0.5635165541626487,0.5358473050224328,305.6
macro avg,LC1,0.5749575530614821,0.575909773340676,0.5738322434063013,706.4
weighted avg,LC1,0.5834901659653756,0.5775823312804773,0.5789518960245712,706.4
accuracy,LC20,0.5617227161809666,0.5617227161809666,0.5617227161809666,0.5617227161809666
case,LC20,0.6245214137736708,0.5708678304239402,0.5964323093514918,400.8
control,LC20,0.4941125594482107,0.5497439194256938,0.5203866802773678,305.6
macro avg,LC20,0.5593169866109408,0.560305874924817,0.5584094948144298,706.4
weighted avg,LC20,0.5681061359394006,0.5617227161809666,0.5635313374082044,706.4
accuracy,LC21,0.5532281394873604,0.5532281394873604,0.5532281394873604,0.5532281394873604
case,LC21,0.6248664358361794,0.5309201995012469,0.5739243176550058,400.8
control,LC21,0.4866709761042127,0.5824558019929282,0.5301525557533988,305.6
macro avg,LC21,0.555768705970196,0.5566880007470876,0.5520384367042024,706.4
weighted avg,LC21,0.5650802906550141,0.5532281394873604,0.5549940753226804,706.4
accuracy,LC22,0.5467097539377572,0.5467097539377572,0.5467097539377572,0.5467097539377572
case,LC22,0.6124405992737639,0.5473990024937656,0.5780684373635174,400.8
control,LC22,0.4791206207398252,0.5458180649308904,0.5102729071564968,305.6
macro avg,LC22,0.5457806100067946,0.546608533712328,0.5441706722600071,706.4
weighted avg,LC22,0.5547652127103035,0.5467097539377572,0.5487368584915892,706.4
accuracy,LC23,0.5413501568691875,0.5413501568691875,0.5413501568691875,0.5413501568691875
case,LC23,0.5915809491672999,0.6227992518703241,0.5999324174586198,400.8
control,LC23,0.4717525425691655,0.4344283724418728,0.4426251259663981,305.6
macro avg,LC23,0.5316667458682327,0.5286138121560986,0.5212787717125089,706.4
weighted avg,LC23,0.5397387540828141,0.5413501568691875,0.5318998464977561,706.4
accuracy,LC24,0.5336878082790067,0.5336878082790067,0.5336878082790067,0.5336878082790067
case,LC24,0.6037420756940992,0.5184576059850373,0.5578234050811914,400.8
control,LC24,0.4671443151663604,0.553678345655202,0.5067133118961475,305.6
macro avg,LC24,0.5354431954302299,0.5360679758201197,0.5322683584886695,706.4
weighted avg,LC24,0.544648840315588,0.5336878082790067,0.5357095225307216,706.4
accuracy,LC25,0.5404822675711521,0.5404822675711521,0.5404822675711521,0.5404822675711521
case,LC25,0.6041035175770986,0.5519039900249376,0.5767003225940902,400.8
control,LC25,0.4720714417847574,0.525518054216222,0.4972363154711484,305.6
macro avg,LC25,0.5380874796809281,0.5387110221205799,0.5369683190326193,706.4
weighted avg,LC25,0.5469852512157294,0.5404822675711521,0.5423200340718548,706.4
accuracy,LC26,0.5600221980919258,0.5600221980919258,0.5600221980919258,0.5600221980919258
case,LC26,0.6274303586677314,0.5528840399002494,0.5876926388486536,400.8
control,LC26,0.4927104862485371,0.5693881924354441,0.5281780399017462,305.6
macro avg,LC26,0.5600704224581342,0.5611361161678468,0.5579353393752,706.4
weighted avg,LC26,0.5691491944372655,0.5600221980919258,0.5619451925423918,706.4
accuracy,LC27,0.5526623686245598,0.5526623686245598,0.5526623686245598,0.5526623686245598
case,LC27,0.6358413300463128,0.4960087281795511,0.5571253216608695,400.8
control,LC27,0.4867039349946582,0.6269859637844208,0.5479062177903372,305.6
macro avg,LC27,0.5612726325204855,0.561497345981986,0.5525157697256033,706.4
weighted avg,LC27,0.5713238548582943,0.5526623686245598,0.5531331731647827,706.4
accuracy,LC28,0.5461471885755957,0.5461471885755957,0.5461471885755957,0.5461471885755957
case,LC28,0.6129551337407569,0.5429114713216958,0.5757536540748456,400.8
control,LC28,0.4786895152203632,0.550391085395907,0.5119917184759614,305.6
macro avg,LC28,0.5458223244805601,0.5466512783588013,0.5438726862754035,706.4
weighted avg,LC28,0.5548700748104074,0.5461471885755957,0.5481693844399731,706.4
accuracy,LC29,0.5583240841283643,0.5583240841283643,0.5583240841283643,0.5583240841283643
case,LC29,0.6256300797179613,0.5518877805486284,0.5863635827840693,400.8
control,LC29,0.4909268824598309,0.5667459552126861,0.5260438526275173,305.6
macro avg,LC29,0.5582784810888961,0.5593168678806573,0.5562037177057932,706.4
weighted avg,LC29,0.5673549702259433,0.5583240841283643,0.5602723237019893,706.4
accuracy,LC2,0.5713444270367951,0.5713444270367951,0.5713444270367951,0.5713444270367951
case,LC2,0.6360904582377532,0.5708703241895262,0.60160235528634,400.8
control,LC2,0.5043488733853343,0.571987570984678,0.5359291355705533,305.6
macro avg,LC2,0.5702196658115437,0.5714289475871022,0.5687657454284467,706.4
weighted avg,LC2,0.5790991034152067,0.5713444270367951,0.5731875747896661,706.4
accuracy,LC30,0.5540735902809221,0.5540735902809221,0.5540735902809221,0.5540735902809221
case,LC30,0.6171214187823009,0.563360349127182,0.588928236276931,400.8
control,LC30,0.4864409445439602,0.541892210436087,0.512582409126342,305.6
macro avg,LC30,0.5517811816631306,0.5526262797816346,0.5507553227016365,706.4
weighted avg,LC30,0.560587182474339,0.5540735902809221,0.5559002761885753,706.4
accuracy,LC31,0.5226520709537567,0.5226520709537567,0.5226520709537567,0.5226520709537567
case,LC31,0.5905429870134057,0.5174613466334165,0.5514182848386568,400.8
