,LC,precision,recall,f1-score,support
macro avg,LC4,0.7089932177295084,0.7085234432969939,0.7082191096727982,883.2
weighted avg,LC4,0.7143039842576843,0.7135377646136423,0.7133962942069392,883.2
accuracy,LC5,0.7010825394710546,0.7010825394710546,0.7010825394710546,0.7010825394710546
case,LC5,0.7510176068341046,0.7084534930139721,0.7285582472574031,500.8
control,LC5,0.6451918611962566,0.6914097849712247,0.6667463382353629,382.4
macro avg,LC5,0.6981047340151806,0.6999316389925984,0.6976522927463831,883.2
weighted avg,LC5,0.7051942644115248,0.7010825394710546,0.701797788272251,883.2
accuracy,LC6,0.7255369139554071,0.7255369139554071,0.7255369139554071,0.7255369139554071
case,LC6,0.769359961016679,0.7376183632734531,0.7528404027206658,500.8
control,LC6,0.6742650054428692,0.7097097863382226,0.691088069912831,382.4
macro avg,LC6,0.7218124832297741,0.7236640748058378,0.7219642363167483,883.2
weighted avg,LC6,0.7281865123410733,0.7255369139554071,0.7261044941611983,883.2
accuracy,LC7,0.7062925649395572,0.7062925649395572,0.7062925649395572,0.7062925649395572
case,LC7,0.7467335290446846,0.7308311377245509,0.7381988605257159,500.8
control,LC7,0.6572399534954966,0.674173307998305,0.6649445756785175,382.4
macro avg,LC7,0.7019867412700905,0.7025022228614279,0.7015717181021167,883.2
weighted avg,LC7,0.7079888955296235,0.7062925649395572,0.7064799971618896,883.2
accuracy,LC8,0.7235004586380244,0.7235004586380244,0.7235004586380244,0.7235004586380244
case,LC8,0.7498994630991433,0.7687624750499003,0.7590283804999065,500.8
control,LC8,0.6876562620606305,0.6642160950336965,0.6754231287684586,382.4
macro avg,LC8,0.718777862579887,0.7164892850417983,0.7172257546341825,883.2
weighted avg,LC8,0.7229496801269282,0.7235004586380244,0.7228313727207625,883.2
accuracy,LC9,0.7155803692676652,0.7155803692676652,0.7155803692676652,0.7155803692676652
case,LC9,0.7572195848370107,0.7348231536926149,0.7455768897766758,500.8
control,LC9,0.6652762274503828,0.6903476275750824,0.6771826166025656,382.4
macro avg,LC9,0.7112479061436968,0.7125853906338486,0.7113797531896207,883.2
weighted avg,LC9,0.7174063377148989,0.7155803692676652,0.715968816266588,883.2
