,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC13,0.6367498627645038,0.6367498627645038,0.6367498627645038,0.6367498627645038,0.5900873138161273,0.5900873138161273,0.5900873138161273,0.5900873138161273,0.5058823529411764,0.5058823529411764,0.5058823529411764,0.5058823529411764
case,LC13,0.679447648899084,0.6816471321695761,0.6794851902871182,400.8,0.6413609468955235,0.6306930693069307,0.6348912691187409,100.2,0.5593907937470689,0.592,0.5743841537533732,125.0
control,LC13,0.583308525798458,0.5779042108646737,0.578849700183506,305.6,0.526915091947169,0.5366028708133971,0.5301804906478924,76.4,0.4262785377475322,0.39375,0.4079849353212828,96.0
macro avg,LC13,0.6313780873487711,0.629775671517125,0.6291674452353121,706.4,0.5841380194213462,0.5836479700601639,0.5825358798833167,176.6,0.4928346657473005,0.492875,0.491184544537328,221.0
weighted avg,LC13,0.6378621910347041,0.6367498627645038,0.635943274801907,706.4,0.5918442497737499,0.5900873138161273,0.5896387245455837,176.6,0.5015682753038313,0.5058823529411764,0.502102140316809,221.0
accuracy,LC14,0.6157914982109299,0.6157914982109299,0.6157914982109299,0.6157914982109299,0.5335323574730355,0.5335323574730355,0.5335323574730355,0.5335323574730355,0.5176470588235293,0.5176470588235293,0.5176470588235293,0.5176470588235293
case,LC14,0.6759718240709247,0.622786783042394,0.6471466581707142,400.8,0.5948182538768465,0.5588910891089108,0.5758144817304172,100.2,0.5740625262379976,0.5728,0.5732296762592839,125.0
control,LC14,0.5515691571484033,0.6067009536054859,0.57649603057457,305.6,0.4631229790658201,0.4999658236500341,0.4803378547601259,76.4,0.4443016407589521,0.4458333333333333,0.4448009925152515,96.0
macro avg,LC14,0.6137704906096639,0.6147438683239399,0.6118213443726421,706.4,0.5289706164713334,0.5294284563794724,0.5280761682452715,176.6,0.5091820834984748,0.5093166666666666,0.5090153343872676,221.0
weighted avg,LC14,0.6221617097096388,0.6157914982109299,0.6165682066497897,706.4,0.5378563068475535,0.5335323574730355,0.5345819612380045,176.6,0.5176958067538873,0.5176470588235293,0.517441650741514,221.0
accuracy,LC15,0.6030596503600177,0.6030596503600177,0.6030596503600177,0.6030596503600177,0.5175462249614793,0.5175462249614793,0.5175462249614793,0.5175462249614793,0.4986425339366516,0.4986425339366516,0.4986425339366516,0.4986425339366516
case,LC15,0.7052050916819267,0.5169750623441397,0.5963374559476746,400.8,0.597980236817446,0.4470495049504951,0.5104092331766134,100.2,0.5753076436560092,0.4416,0.4989555430344904,125.0
control,LC15,0.5305461318666955,0.7159884281581486,0.6093354274939655,305.6,0.4584554446949668,0.6098086124401914,0.52272982942523,76.4,0.4399342760169613,0.5729166666666666,0.4972955114524769,96.0
macro avg,LC15,0.6178756117743112,0.6164817452511441,0.6028364417208201,706.4,0.5282178407562065,0.5284290586953432,0.5165695313009218,176.6,0.5076209598364853,0.5072583333333334,0.4981255272434836,221.0
weighted avg,LC15,0.6296490864462557,0.6030596503600177,0.6019566375890097,706.4,0.53761764844438,0.5175462249614793,0.5157816969380538,176.6,0.5165029228716265,0.4986425339366516,0.4982344433427561,221.0
accuracy,LC16,0.6010734420265175,0.6010734420265175,0.6010734420265175,0.6010734420265175,0.5084232152028763,0.5084232152028763,0.5084232152028763,0.5084232152028763,0.5375565610859729,0.5375565610859729,0.5375565610859729,0.5375565610859729
case,LC16,0.6785360889627624,0.5768079800498753,0.6179780784108687,400.8,0.574704258337974,0.4954257425742575,0.524734163092176,100.2,0.6044872802777569,0.5327999999999999,0.562263276971716,125.0
control,LC16,0.5349508033518534,0.6327975999142826,0.5742728345709661,305.6,0.4470938397367373,0.5263157894736842,0.4776604868640667,76.4,0.4741611421327382,0.54375,0.5024500494108025,96.0
