,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC13,0.7018680054974336,0.7018680054974336,0.7018680054974336,0.7018680054974336,0.533429635336415,0.533429635336415,0.533429635336415,0.533429635336415,0.5122171945701357,0.5122171945701357,0.5122171945701357,0.5122171945701357
case,LC13,0.7425068908822208,0.7280374064837905,0.7349649545268175,400.8,0.5951241820117081,0.556930693069307,0.5735875985532345,100.2,0.574479941124984,0.5328,0.5525757984276013,125.0
control,LC13,0.6513459189151696,0.6675431265402336,0.6590170947044475,305.6,0.4646582417798391,0.5023923444976076,0.481075106441106,76.4,0.4433791208791208,0.4854166666666666,0.4631579883388487,96.0
macro avg,LC13,0.6969264048986952,0.697790266512012,0.6969910246156326,706.4,0.5298912118957737,0.5296615187834572,0.5273313524971702,176.6,0.5089295310020525,0.5091083333333334,0.507866893383225,221.0
weighted avg,LC13,0.7030678456202704,0.7018680054974336,0.7021087011766234,706.4,0.5386882768001114,0.533429635336415,0.5336148756672313,176.6,0.5175311685294959,0.5122171945701357,0.5137336727781884,221.0
accuracy,LC14,0.723956709713869,0.723956709713869,0.723956709713869,0.723956709713869,0.5197354904982023,0.5197354904982023,0.5197354904982023,0.5197354904982023,0.497737556561086,0.497737556561086,0.497737556561086,0.497737556561086
case,LC14,0.7567940046770634,0.7579825436408978,0.7566194022278891,400.8,0.583401088656616,0.5468910891089109,0.5634862781977111,100.2,0.5554891728755533,0.5536,0.5540225952169433,125.0
control,LC14,0.6834957770415752,0.6792864030858246,0.6801846479265694,305.6,0.4460453339763684,0.4840738209159261,0.4630368735107103,76.4,0.423828698407017,0.425,0.4237016308323761,96.0
macro avg,LC14,0.7201448908593193,0.7186344733633611,0.7184020250772292,706.4,0.5147232113164921,0.5154824550124185,0.5132615758542107,176.6,0.4896589356412851,0.4892999999999999,0.4888621130246597,221.0
weighted avg,LC14,0.7250743420752108,0.723956709713869,0.7235575243183856,706.4,0.5239942128279251,0.5197354904982023,0.5200482590761182,176.6,0.4982972925634289,0.497737556561086,0.4974125835385793,221.0
accuracy,LC15,0.7078222229345557,0.7078222229345557,0.7078222229345557,0.7078222229345557,0.5503787878787879,0.5503787878787879,0.5503787878787879,0.5503787878787879,0.5257918552036199,0.5257918552036199,0.5257918552036199,0.5257918552036199
case,LC15,0.7519122391154607,0.7245598503740649,0.7376182724868711,400.8,0.6121765731649923,0.5669306930693069,0.5877774619834479,100.2,0.5834814647659516,0.576,0.5774009108746483,125.0
control,LC15,0.6556551253690859,0.685856637737062,0.6699469478298117,305.6,0.4827651882827223,0.5287764866712235,0.5038662374586301,76.4,0.4527452949250151,0.4604166666666667,0.4537374325846686,96.0
macro avg,LC15,0.7037836822422733,0.7052082440555634,0.7037826101583413,706.4,0.5474708807238573,0.5478535898702652,0.5458218497210391,176.6,0.5181133798454834,0.5182083333333333,0.5155691717296584,221.0
weighted avg,LC15,0.710267383074694,0.7078222229345557,0.7083443268918778,706.4,0.5562146631538758,0.5503787878787879,0.551465118464057,176.6,0.5266910923463594,0.5257918552036199,0.5236828388572816,221.0
accuracy,LC16,0.7129105545115418,0.7129105545115418,0.7129105545115418,0.7129105545115418,0.5571712891628147,0.5571712891628147,0.5571712891628147,0.5571712891628147,0.5176470588235295,0.5176470588235295,0.5176470588235295,0.5176470588235295
case,LC16,0.7574243795143125,0.7280399002493765,0.7418142747543726,400.8,0.6100148931267924,0.6067128712871288,0.6083129906899319,100.2,0.5811202892528583,0.5328,0.5549949215580501,125.0
control,LC16,0.6613109363685689,0.6930483231543983,0.6759556352267175,305.6,0.4889851833889141,0.4921736158578264,0.4905115868851012,76.4,0.4492433495322426,0.4979166666666667,0.4714293011573298,96.0
