,LC,precision,recall,f1-score,support
macro avg,LC7,0.6541489075734944,0.6548894418566249,0.6530752327846105,706.4
weighted avg,LC7,0.6614786424149425,0.6577062238801784,0.6581623291211098,706.4
accuracy,LC8,0.6452464428960095,0.6452464428960095,0.6452464428960095,0.6452464428960095
case,LC8,0.6978140052275628,0.6651608478802993,0.6788606201735975,400.8
control,LC8,0.588430738402581,0.6190571091824708,0.5998240797706899,305.6
macro avg,LC8,0.6431223718150718,0.6421089785313849,0.6393423499721437,706.4
weighted avg,LC8,0.6504847112196523,0.6452464428960095,0.6446799325244921,706.4
accuracy,LC9,0.6489219500663138,0.6489219500663138,0.6489219500663138,0.6489219500663138
case,LC9,0.711966174305501,0.6437082294264339,0.6743380066673451,400.8
control,LC9,0.5855799632524028,0.6558062787956713,0.6169351571430364,305.6
macro avg,LC9,0.6487730687789519,0.6497572541110526,0.6456365819051908,706.4
weighted avg,LC9,0.6572959521026871,0.6489219500663138,0.6494977196011902,706.4
