,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
weighted avg,LC13,0.6305322927768169,0.6216028758397688,0.6224914237852975,883.2,0.5135570993997101,0.5062895927601809,0.5071005818975366,220.8
accuracy,LC14,0.6401682356015845,0.6401682356015845,0.6401682356015845,0.6401682356015845,0.5362525709584534,0.5362525709584534,0.5362525709584534,0.5362525709584534
case,LC14,0.7009134347862485,0.6425828343313373,0.6681064366221597,500.8,0.5970950062298437,0.5622857142857143,0.5774511012957396,125.2
control,LC14,0.5783055361952988,0.6370798190094733,0.6039315522503201,382.4,0.4671474624666113,0.5020833333333333,0.4823144034722982,95.6
macro avg,LC14,0.6396094854907737,0.6398313266704053,0.63601899443624,883.2,0.5321212343482276,0.5321845238095239,0.5298827523840189,220.8
weighted avg,LC14,0.6478369253869417,0.6401682356015845,0.6403092102009695,883.2,0.5408304418005303,0.5362525709584534,0.5362757221171562,220.8
accuracy,LC1,0.623868906391723,0.623868906391723,0.623868906391723,0.623868906391723,0.5072850678733032,0.5072850678733032,0.5072850678733032,0.5072850678733032
case,LC1,0.6902343946658344,0.6118171656686627,0.6480891074459636,500.8,0.5757352479598242,0.5049015873015874,0.5371370116625244,125.2
control,LC1,0.5575880315958034,0.6396525091247113,0.5953088885416105,382.4,0.4394703332076362,0.5107017543859649,0.471691253934669,95.6
macro avg,LC1,0.6239112131308189,0.6257348373966869,0.621698997993787,883.2,0.5076027905837301,0.507801670843776,0.5044141327985967,220.8
weighted avg,LC1,0.6328026871308468,0.623868906391723,0.625236850009623,883.2,0.5167418506253488,0.5072850678733032,0.5087396772884409,220.8
accuracy,LC2,0.6245458458668771,0.6245458458668771,0.6245458458668771,0.6245458458668771,0.4755450431921019,0.4755450431921019,0.4755450431921019,0.4755450431921019
case,LC2,0.6917247525049046,0.6126179640718563,0.6484367952627615,500.8,0.5404114873879878,0.4808761904761905,0.507390486964955,125.2
control,LC2,0.5587413210238618,0.6401350593960603,0.5952811844597331,382.4,0.4097318170286673,0.4686403508771929,0.4356844694196984,95.6
macro avg,LC2,0.6252330367643831,0.6263765117339583,0.6218589898612473,883.2,0.4750716522083276,0.4747582706766917,0.4715374781923267,220.8
weighted avg,LC2,0.6341436104694617,0.6245458458668771,0.6254272459548279,883.2,0.4838408149675719,0.4755450431921019,0.4763321465798025,220.8
