,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
weighted avg,LC13,0.8302649172071261,0.8272190137488918,0.8277540041611445,883.2,0.7259644918033126,0.7237062937062937,0.7236720985323372,220.8
accuracy,LC14,0.7973324690099055,0.7973324690099055,0.7973324690099055,0.7973324690099055,0.6974413821472645,0.6974413821472645,0.6974413821472645,0.6974413821472645
case,LC14,0.8404722630820813,0.7931361277445109,0.8160863214933988,500.8,0.7406257932075052,0.7173206349206349,0.7286547433555542,125.2
control,LC14,0.7478001908601376,0.8028351537189179,0.774300249942334,382.4,0.6453904432356468,0.6714912280701755,0.6580057289955266,95.6
macro avg,LC14,0.7941362269711096,0.7979856407317144,0.7951932857178664,883.2,0.693008118221576,0.6944059314954052,0.6933302361755403,220.8
weighted avg,LC14,0.8003497623191629,0.7973324690099055,0.797993571031973,883.2,0.6994227906978765,0.6974413821472645,0.6980633384075403,220.8
accuracy,LC1,0.812803730255932,0.812803730255932,0.812803730255932,0.812803730255932,0.7182887700534759,0.7182887700534759,0.7182887700534759,0.7182887700534759
case,LC1,0.8515028028637444,0.8118304723885562,0.8310829762411024,500.8,0.7629980163522841,0.7300825396825397,0.7457838417888492,125.2
control,LC1,0.7675752977146533,0.8140698262545624,0.7899864292758396,382.4,0.6665522437706113,0.7029166666666666,0.68372667069412,95.6
macro avg,LC1,0.8095390502891989,0.8129501493215593,0.8105347027584711,883.1999999999999,0.7147751300614477,0.7164996031746032,0.7147552562414845,220.8
weighted avg,LC1,0.8151618794548191,0.812803730255932,0.8132898011561043,883.1999999999999,0.7212660373588817,0.7182887700534759,0.7189122697489716,220.8
accuracy,LC2,0.837335526596735,0.837335526596735,0.837335526596735,0.837335526596735,0.7536116824352119,0.7536116824352119,0.7536116824352119,0.7536116824352119
case,LC2,0.8678977899355521,0.841127877578177,0.8541521168518168,500.8,0.7871683758610754,0.7764063492063492,0.7813262988678408,125.2
control,LC2,0.8007278921008055,0.8323864594297796,0.8160304108888936,382.4,0.7124012775297182,0.7239254385964913,0.7175232618833791,95.6
macro avg,LC2,0.8343128410181788,0.8367571685039783,0.8350912638703553,883.1999999999999,0.7497848266953968,0.7501658939014202,0.74942478037561,220.8
weighted avg,LC2,0.8388206474300554,0.837335526596735,0.8376455025615854,883.1999999999999,0.7548370575508627,0.7536116824352119,0.7536861435805337,220.8
accuracy,LC3,0.8063851466189752,0.8063851466189752,0.8063851466189752,0.8063851466189752,0.7137638831756479,0.7137638831756479,0.7137638831756479,0.7137638831756479
case,LC3,0.8446865470831525,0.8071777777777777,0.8254203559837521,500.8,0.7648627519915608,0.715568253968254,0.7387315121682637,125.2
control,LC3,0.7613391508020797,0.8053620494033055,0.7826131010648991,382.4,0.6577929675755763,0.711140350877193,0.6826239010372214,95.6
macro avg,LC3,0.8030128489426162,0.8062699135905417,0.8040167285243256,883.1999999999999,0.7113278597835686,0.7133543024227235,0.7106777066027425,220.8
weighted avg,LC3,0.8086039520624166,0.8063851466189752,0.8068850668271579,883.1999999999999,0.7184626800283368,0.7137638831756479,0.7144735537464731,220.8
accuracy,LC4,0.8256319297472451,0.8256319297472451,0.8256319297472451,0.8256319297472451,0.7454627725215961,0.7454627725215961,0.7454627725215961,0.7454627725215961
case,LC4,0.8520355811865364,0.8374565535595475,0.8446057643235741,500.8,0.7825860566673544,0.7667936507936508,0.7738770542349125,125.2
control,LC4,0.7928414681968841,0.8101488205086144,0.801293567020796,382.4,0.7010095101190934,0.7177631578947368,0.7082933723413756,95.6
macro avg,LC4,0.8224385246917102,0.8238026870340809,0.8229496656721852,883.1999999999999,0.7417977833932239,0.7422784043441938,0.741085213288144,220.8
weighted avg,LC4,0.8264066196268406,0.8256319297472451,0.8258524452212619,883.1999999999999,0.7473123539422567,0.7454627725215961,0.7454539008790361,220.8
accuracy,LC5,0.7927991694979237,0.7927991694979237,0.7927991694979237,0.7927991694979237,0.6974537227478403,0.6974537227478403,0.6974537227478403,0.6974537227478403
case,LC5,0.8282376377569198,0.80052375249501,0.8140566446657709,500.8,0.7415734532460845,0.7188571428571429,0.7296654781738763,125.2
control,LC5,0.7501813447087408,0.7826892494725666,0.7659674520889183,382.4,0.6441456237419482,0.6695833333333333,0.6561126814661312,95.6
macro avg,LC5,0.7892094912328304,0.7916065009837884,0.7900120483773446,883.1999999999999,0.6928595384940163,0.694220238095238,0.6928890798200038,220.8
weighted avg,LC5,0.7944436901634027,0.7927991694979237,0.7932351307839333,883.1999999999999,0.699415621071734,0.6974537227478403,0.6977976924607809,220.8
accuracy,LC6,0.825826018184955,0.825826018184955,0.825826018184955,0.825826018184955,0.7527807486631015,0.7527807486631015,0.7527807486631015,0.7527807486631015
case,LC6,0.8581814127322062,0.8301365269461077,0.8438340587906893,500.8,0.7879293746204368,0.7714920634920635,0.7790387788881895,125.2
control,LC6,0.7868438797846856,0.8201837245225759,0.8030380637846823,382.4,0.7110987425273139,0.7280921052631579,0.7186867146427881,95.6
macro avg,LC6,0.8225126462584459,0.8251601257343418,0.8234360612876858,883.1999999999999,0.7495140585738753,0.7497920843776107,0.7488627467654888,220.8
weighted avg,LC6,0.8272946770192707,0.825826018184955,0.8261701337510626,883.1999999999999,0.7546157161740199,0.7527807486631015,0.7529238624119132,220.8
accuracy,LC7,0.8145029115400843,0.8145029115400843,0.8145029115400843,0.8145029115400843,0.73648292883587,0.73648292883587,0.73648292883587,0.73648292883587
case,LC7,0.8526634928711627,0.8138344644045242,0.8326563620650759,500.8,0.7766518047599202,0.7507301587301587,0.7623714706866537,125.2
control,LC7,0.7699404186866875,0.8153901184275879,0.7918225202689112,382.4,0.691027921117105,0.717719298245614,0.7029094508490097,95.6
macro avg,LC7,0.8113019557789252,0.8146122914160561,0.8122394411669935,883.1999999999999,0.7338398629385126,0.7342247284878864,0.7326404607678316,220.8
weighted avg,LC7,0.8168495321596797,0.8145029115400843,0.8149753327425845,883.1999999999999,0.7395451809725183,0.73648292883587,0.7366317216193229,220.8
accuracy,LC8,0.8564327185704842,0.8564327185704842,0.8564327185704842,0.8564327185704842,0.7355285890580008,0.7355285890580008,0.7355285890580008,0.7355285890580008
case,LC8,0.8919610864450856,0.8498419161676647,0.8703266962197336,500.8,0.7671262191188242,0.7683682539682539,0.766554057226956,125.2
control,LC8,0.8149576993433246,0.8650608997580413,0.8391715250879676,382.4,0.6979587589959577,0.6923684210526316,0.6935854044726323,95.6
macro avg,LC8,0.8534593928942051,0.857451407962853,0.8547491106538507,883.2,0.7325424890573908,0.7303683375104428,0.7300697308497942,220.8
weighted avg,LC8,0.858620252729058,0.8564327185704842,0.856837820350431,883.2,0.7371539822921672,0.7355285890580008,0.7349813323541095,220.8
accuracy,LC9,0.8437530426405251,0.8437530426405251,0.8437530426405251,0.8437530426405251,0.7173837926779103,0.7173837926779103,0.7173837926779103,0.7173837926779103
case,LC9,0.8742386934576633,0.846251497005988,0.8599910717558672,500.8,0.7608844593706061,0.7331809523809524,0.7464891966864907,125.2
control,LC9,0.8067595287421957,0.8404836438696976,0.8232396609376298,382.4,0.6654689321024747,0.6967324561403508,0.6803553903849217,95.6
macro avg,LC9,0.8404991110999294,0.8433675704378428,0.8416153663467485,883.2,0.7131766957365404,0.7149567042606517,0.7134222935357062,220.8
weighted avg,LC9,0.8450236931526659,0.8437530426405251,0.8440789790942003,883.2,0.7195739057405398,0.7173837926779103,0.7178479231559447,220.8
