,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
weighted avg,LC13,0.7268815917774478,0.7214698964349221,0.7221924082375657,883.2,0.6207052627739063,0.6168572603866721,0.6179112666850177,220.8
accuracy,LC14,0.7144494037705682,0.7144494037705682,0.7144494037705682,0.7144494037705682,0.5951007815713698,0.5951007815713698,0.5951007815713698,0.5951007815713698
case,LC14,0.7813750832168291,0.6912766467065868,0.7322098620241003,500.8,0.6627682219879245,0.587936507936508,0.6214040680466606,125.2
control,LC14,0.6501115183120442,0.7447281724604595,0.6928907983107488,382.4,0.528589622937449,0.6046491228070175,0.5624267989593396,95.6
macro avg,LC14,0.7157433007644366,0.7180024095835231,0.7125503301674245,883.2,0.5956789224626868,0.5962928153717628,0.5919154335030001,220.8
weighted avg,LC14,0.724529066069477,0.7144494037705682,0.7151943241466219,883.2,0.6046939191127257,0.5951007815713698,0.5958432506998306,220.8
accuracy,LC1,0.6996168621643273,0.6996168621643273,0.6996168621643273,0.6996168621643273,0.6150473056355409,0.6150473056355409,0.6150473056355409,0.6150473056355409
case,LC1,0.7712486413849495,0.6680779773785761,0.7152820230335536,500.8,0.6802660913340525,0.6086730158730159,0.6412319128784572,125.2
control,LC1,0.6316380430007531,0.740937259351405,0.6813847578883951,382.4,0.54981894492683,0.6235745614035088,0.5829356942590396,95.6
macro avg,LC1,0.7014433421928513,0.7045076183649907,0.6983333904609744,883.1999999999999,0.6150425181304413,0.6161237886382623,0.6120838035687484,220.8
weighted avg,LC1,0.7108039750716046,0.6996168621643273,0.7006032962387483,883.1999999999999,0.6238112113355919,0.6150473056355409,0.615965167137545,220.8
accuracy,LC2,0.717162542340745,0.717162542340745,0.717162542340745,0.717162542340745,0.626840806252571,0.626840806252571,0.626840806252571,0.626840806252571
case,LC2,0.7617138708129828,0.7289602129075182,0.7424915204916721,500.8,0.6624733268950036,0.6934349206349206,0.6759863323493023,125.2
control,LC2,0.6720646824163392,0.7017351760465509,0.6832716762833503,382.4,0.5812617232444903,0.5396491228070175,0.5564869904898313,95.6
macro avg,LC2,0.716889276614661,0.7153476944770346,0.7128815983875111,883.1999999999999,0.621867525069747,0.6165420217209692,0.6162366614195668,220.8
weighted avg,LC2,0.7229024618853476,0.717162542340745,0.7168479279941847,883.1999999999999,0.6273227992346422,0.626840806252571,0.6242494185505358,220.8
accuracy,LC3,0.700935339725227,0.700935339725227,0.700935339725227,0.700935339725227,0.5778815302344714,0.5778815302344714,0.5778815302344714,0.5778815302344714
case,LC3,0.772938330291697,0.6690633399866933,0.7165964533348522,500.8,0.6465035771724582,0.5653968253968253,0.6001500493837344,125.2
control,LC3,0.6325973924572245,0.7426710684000201,0.6826959858131495,382.4,0.5135297100391145,0.5943201754385965,0.5477641547961796,95.6
macro avg,LC3,0.7027678613744608,0.7058672041933566,0.6996462195740009,883.1999999999999,0.5800166436057864,0.5798585004177109,0.573957102089957,220.8
weighted avg,LC3,0.7121735436818414,0.700935339725227,0.7019188697085575,883.1999999999999,0.5889418840094574,0.5778815302344714,0.5774557156599112,220.8
accuracy,LC4,0.7071617565921743,0.7071617565921743,0.7071617565921743,0.7071617565921743,0.6122994652406417,0.6122994652406417,0.6122994652406417,0.6122994652406417
case,LC4,0.7705069456408902,0.6897033932135729,0.7260113523006212,500.8,0.6788996348282551,0.6070222222222222,0.6396400551132173,125.2
control,LC4,0.6457457028493684,0.7300627907718527,0.6837007428779637,382.4,0.545046440562325,0.6191008771929825,0.578497502657112,95.6
macro avg,LC4,0.7081263242451293,0.7098830919927127,0.7048560475892924,883.1999999999999,0.6119730376952901,0.6130615497076024,0.6090687788851646,220.8
weighted avg,LC4,0.7164956250644255,0.7071617565921743,0.7076873448018725,883.1999999999999,0.6209402929814019,0.6122994652406417,0.6131887024459701,220.8
accuracy,LC5,0.6941448066289849,0.6941448066289849,0.6941448066289849,0.6941448066289849,0.5968860551213492,0.5968860551213492,0.5968860551213492,0.5968860551213492
case,LC5,0.7469901915739817,0.6953574184963407,0.719309977978316,500.8,0.654205160698168,0.6165587301587301,0.6342178685979418,125.2
control,LC5,0.636950029168317,0.6925592024022711,0.6627853847926523,382.4,0.5315801406307585,0.5711622807017543,0.5499103609880118,95.6
macro avg,LC5,0.6919701103711494,0.6939583104493058,0.6910476813854841,883.1999999999999,0.5928926506644633,0.5938605054302423,0.5920641147929768,220.8
weighted avg,LC5,0.6993460270452486,0.6941448066289849,0.6948359155137392,883.1999999999999,0.6011151837454627,0.5968860551213492,0.5977079571245443,220.8
accuracy,LC6,0.7041419625607888,0.7041419625607888,0.7041419625607888,0.7041419625607888,0.6042245989304813,0.6042245989304813,0.6042245989304813,0.6042245989304813
case,LC6,0.7782702675742424,0.6713853626081171,0.7183741226433424,500.8,0.6748495602060153,0.5783619047619049,0.6190317761743209,125.2
control,LC6,0.6384285353741836,0.7470693842585631,0.686145668635505,382.4,0.5415845355294381,0.6379385964912281,0.5829859671916686,95.6
macro avg,LC6,0.7083494014742131,0.7092273734333401,0.7022598956394237,883.1999999999999,0.6082170478677267,0.6081502506265665,0.6010088716829948,220.8
weighted avg,LC6,0.7177276652167381,0.7041419625607888,0.7044162573529514,883.1999999999999,0.6171415345895617,0.6042245989304813,0.6034564075553408,220.8
accuracy,LC7,0.7064108115587032,0.7064108115587032,0.7064108115587032,0.7064108115587032,0.6349814890991362,0.6349814890991362,0.6349814890991362,0.6349814890991362
case,LC7,0.7644126300863553,0.697026746506986,0.7276080487188343,500.8,0.6995802177620359,0.6262222222222222,0.6595405229217973,125.2
control,LC7,0.6478528749136273,0.7186836721209885,0.6798738672641447,382.4,0.5707572037547288,0.6466447368421052,0.6049928091433662,95.6
macro avg,LC7,0.7061327524999913,0.7078552093139873,0.7037409579914895,883.1999999999999,0.6351687107583823,0.6364334795321638,0.6322666660325817,220.8
weighted avg,LC7,0.7139423222812519,0.7064108115587032,0.7069424402004411,883.1999999999999,0.6438357798014973,0.6349814890991362,0.6358978422544231,220.8
accuracy,LC8,0.7235071204193847,0.7235071204193847,0.7235071204193847,0.7235071204193847,0.5860222130810365,0.5860222130810365,0.5860222130810365,0.5860222130810365
case,LC8,0.7671583966476462,0.737620758483034,0.7514989687507077,500.8,0.6394573989244396,0.6198095238095238,0.628575757101933,125.2
control,LC8,0.6727897350966943,0.7050360203956092,0.6877450737073234,382.4,0.522248097936386,0.5419078947368421,0.5306414591013884,95.6
macro avg,LC8,0.7199740658721703,0.7213283894393216,0.7196220212290155,883.2,0.5808527484304128,0.580858709273183,0.5796086081016607,220.8
weighted avg,LC8,0.7263023561453668,0.7235071204193847,0.7238941754539187,883.2,0.5887257922158393,0.5860222130810365,0.5861520732505314,220.8
accuracy,LC9,0.7117298596413912,0.7117298596413912,0.7117298596413912,0.7117298596413912,0.6041752365281777,0.6041752365281777,0.6041752365281777,0.6041752365281777
case,LC9,0.772320717183274,0.6988710578842315,0.7328285651350697,500.8,0.6659773966440613,0.6054349206349207,0.6338335929418889,125.2
control,LC9,0.6500812623797834,0.7285770918485912,0.6860788883996223,382.4,0.5389840511026952,0.6024780701754386,0.5685577545159077,95.6
macro avg,LC9,0.7112009897815287,0.7137240748664114,0.709453726767346,883.2,0.6024807238733783,0.6039564954051796,0.6011956737288984,220.8
weighted avg,LC9,0.7193959201808208,0.7117298596413912,0.7125864570418159,883.2,0.6109955064663025,0.6041752365281777,0.6055826399474098,220.8
