,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
weighted avg,LC13,0.8441714736185231,0.8423894272405364,0.8428030851865754,883.2,0.7727141760754022,0.7689880707527766,0.769539867025609,220.8
accuracy,LC14,0.8317480001844801,0.8317480001844801,0.8317480001844801,0.8317480001844801,0.7590333196215548,0.7590333196215548,0.7590333196215548,0.7590333196215548
case,LC14,0.8695227368426066,0.8274794411177645,0.8479623317827141,500.8,0.7985636102207929,0.7699936507936508,0.7836859205322682,125.2
control,LC14,0.7875413958804026,0.8373340806255383,0.8116508158472928,382.4,0.712332867610614,0.7448026315789473,0.7277429896692247,95.6
macro avg,LC14,0.8285320663615046,0.8324067608716513,0.8298065738150034,883.2,0.7554482389157033,0.7573981411862991,0.7557144551007465,220.8
weighted avg,LC14,0.83402705354406,0.8317480001844801,0.8322413146323349,883.2,0.7612634194026023,0.7590333196215548,0.7594554465626064,220.8
accuracy,LC1,0.8627726846466437,0.8627726846466437,0.8627726846466437,0.8627726846466437,0.760896750308515,0.760896750308515,0.760896750308515,0.760896750308515
case,LC1,0.8944247558422816,0.8594291417165669,0.8765727226643854,500.8,0.7989470669427191,0.7731936507936508,0.7853192624412217,125.2
control,LC1,0.8249081790578165,0.8671551405957377,0.8454969712883622,382.4,0.716556957174299,0.7446491228070176,0.7296216392224222,95.6
macro avg,LC1,0.8596664674500492,0.8632921411561523,0.8610348469763738,883.2,0.7577520120585091,0.7589213868003342,0.757470450831822,220.8
weighted avg,LC1,0.8643278374356868,0.8627726846466437,0.8631179135251411,883.2,0.7632602304799746,0.760896750308515,0.7612273522624753,220.8
accuracy,LC2,0.8774898407834255,0.8774898407834255,0.8774898407834255,0.8774898407834255,0.7699095022624435,0.7699095022624435,0.7699095022624435,0.7699095022624435
case,LC2,0.9051299699948232,0.8758027944111776,0.8901953051844294,500.8,0.8132303431569037,0.7747809523809523,0.7923963002859566,125.2
control,LC2,0.8440165690165691,0.8797041816466857,0.8614481794907622,382.4,0.7226868687347022,0.76375,0.7410607124071518,95.6
macro avg,LC2,0.874573269505696,0.8777534880289316,0.8758217423375958,883.2,0.7679586059458029,0.7692654761904761,0.7667285063465542,220.8
weighted avg,LC2,0.8786717766895356,0.8774898407834255,0.8777486416372074,883.2,0.7740798835749401,0.7699095022624435,0.7701482009213125,220.8
accuracy,LC3,0.8455591540562561,0.8455591540562561,0.8455591540562561,0.8455591540562561,0.7581201151789387,0.7581201151789387,0.7581201151789387,0.7581201151789387
case,LC3,0.8786636257719078,0.8442506986027943,0.8610946894587552,500.8,0.794775692416656,0.7730031746031746,0.7827408509572976,125.2
control,LC3,0.8060094936931252,0.8472748896149167,0.8261014122756574,382.4,0.7174591633273752,0.738421052631579,0.7261917806369622,95.6
macro avg,LC3,0.8423365597325164,0.8457627941088555,0.8435980508672063,883.2,0.7561174278720157,0.7557121136173768,0.7544663157971299,220.8
weighted avg,LC3,0.8472078765215236,0.8455591540562561,0.8459438520239779,883.2,0.7612429364933886,0.7581201151789387,0.758274232642491,220.8
accuracy,LC4,0.861865657492198,0.861865657492198,0.861865657492198,0.861865657492198,0.7871246400658165,0.7871246400658165,0.7871246400658165,0.7871246400658165
case,LC4,0.8903500323555578,0.8626171656686626,0.8762382642655785,500.8,0.8142021421098642,0.8115174603174603,0.8123721550869029,125.2
control,LC4,0.8272702790597142,0.8608765190764561,0.8437011285834007,382.4,0.7535130579273701,0.7552631578947369,0.7536031049695646,95.6
macro avg,LC4,0.858810155707636,0.8617468423725594,0.8599696964244895,883.2,0.7838576000186172,0.7833903091060985,0.7829876300282337,220.8
weighted avg,LC4,0.8630366537216888,0.861865657492198,0.8621508509424656,883.2,0.7879459396108079,0.7871246400658165,0.7869190059738674,220.8
accuracy,LC5,0.8229178089913549,0.8229178089913549,0.8229178089913549,0.8229178089913549,0.7210119292472233,0.7210119292472233,0.7210119292472233,0.7210119292472233
case,LC5,0.8591543053517008,0.8226890219560878,0.8404769898766784,500.8,0.7696350976269527,0.7268698412698413,0.7470040677974559,125.2
control,LC5,0.7800465736581248,0.8232184599401254,0.8009835644857327,382.4,0.6665571455140478,0.7133771929824562,0.6884356924068145,95.6
macro avg,LC5,0.8196004395049128,0.8229537409481067,0.8207302771812056,883.2,0.7180961215705002,0.7201235171261487,0.7177198801021352,220.8
weighted avg,LC5,0.8249041552570959,0.8229178089913549,0.8233778730478358,883.2,0.7250186005815119,0.7210119292472233,0.7216444166158535,220.8
accuracy,LC6,0.8722818650938031,0.8722818650938031,0.8722818650938031,0.8722818650938031,0.7916988893459481,0.7916988893459481,0.7916988893459481,0.7916988893459481
case,LC6,0.8991872905545577,0.8726059880239522,0.885685464242367,500.8,0.8300007091797781,0.7970920634920635,0.8127169603604221,125.2
control,LC6,0.839414776865052,0.8718603474908754,0.8553129937099369,382.4,0.7475446990897358,0.7843859649122807,0.7647983313094451,95.6
macro avg,LC6,0.8693010337098048,0.8722331677574136,0.8704992289761521,883.2,0.788772704134757,0.7907390142021721,0.7887576458349336,220.8
weighted avg,LC6,0.8733091091410998,0.8722818650938031,0.8725352270487189,883.2,0.7942485349580255,0.7916988893459481,0.7919979638878424,220.8
accuracy,LC7,0.8451102524815136,0.8451102524815136,0.8451102524815136,0.8451102524815136,0.7482147264500206,0.7482147264500206,0.7482147264500206,0.7482147264500206
case,LC7,0.8794904649064895,0.8422522954091816,0.8604528246236376,500.8,0.7916159119254711,0.7571555555555556,0.7733136564311452,125.2
control,LC7,0.804324367896956,0.8488510382349321,0.8259671383442893,382.4,0.6987113445815689,0.7366666666666666,0.716256874122733,95.6
macro avg,LC7,0.8419074164017228,0.845551666822057,0.8432099814839633,883.2,0.74516362825352,0.7469111111111111,0.7447852652769391,220.8
weighted avg,LC7,0.8469448518153717,0.8451102524815136,0.8455215249717034,883.2,0.7514180171104994,0.7482147264500206,0.74858860015557,220.8
accuracy,LC8,0.8609591427824723,0.8609591427824723,0.8609591427824723,0.8609591427824723,0.7672027972027972,0.7672027972027972,0.7672027972027972,0.7672027972027972
case,LC8,0.8918139476622124,0.8590275449101796,0.8751072127934689,500.8,0.7985667526780216,0.7906920634920634,0.7937573932762565,125.2
control,LC8,0.8238455437722794,0.8634929531256408,0.843194081717451,382.4,0.7299093113046602,0.73625,0.7318709824885878,95.6
macro avg,LC8,0.8578297457172459,0.8612602490179102,0.8591506472554601,883.2,0.7642380319913409,0.7634710317460318,0.7628141878824221,220.8
weighted avg,LC8,0.8623873766753511,0.8609591427824723,0.8612897578731926,883.2,0.768811766185809,0.7672027972027972,0.7669897678497531,220.8
accuracy,LC9,0.8566571693578554,0.8566571693578554,0.8566571693578554,0.8566571693578554,0.7645043192102016,0.7645043192102016,0.7645043192102016,0.7645043192102016
case,LC9,0.8889883334281787,0.853830738522954,0.8710091931891959,500.8,0.8067457763069921,0.771568253968254,0.7882490578610979,125.2
control,LC9,0.8182036526494709,0.8603556928629038,0.8386875309006456,382.4,0.7156907587198849,0.7553947368421052,0.7342857814402731,95.6
macro avg,LC9,0.8535959930388248,0.857093215692929,0.8548483620449208,883.2,0.7612182675134385,0.7634814954051796,0.7612674196506856,220.8
weighted avg,LC9,0.8583399250172594,0.8566571693578554,0.8570151522534681,883.2,0.7673511637685995,0.7645043192102016,0.764868885628436,220.8
