,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC13,0.6928116648168257,0.6928116648168257,0.6928116648168257,0.6928116648168257,0.5956920903954802,0.5956920903954802,0.5956920903954802,0.5956920903954802,0.5357466063348417,0.5357466063348417,0.5357466063348417,0.5357466063348417
case,LC13,0.7628894402135564,0.6656745635910225,0.7108140963099723,400.8,0.6627014652014652,0.5869306930693069,0.6214786260859559,100.2,0.5969481753880234,0.5488,0.5712377078759227,125.0
control,LC13,0.6243981460468372,0.7283810136076289,0.6722535803816438,305.6,0.5294163035584604,0.6075187969924812,0.564818610502142,76.4,0.4698586649158877,0.51875,0.4924758857269828,96.0
macro avg,LC13,0.6936437931301968,0.6970277885993257,0.6915338383458081,706.4,0.5960588843799628,0.5972247450308942,0.5931486182940489,176.6,0.5334034201519555,0.533775,0.5318567968014527,221.0
weighted avg,LC13,0.7029729967735276,0.6928116648168257,0.6941353635381701,706.4,0.6050776015856469,0.5956920903954802,0.5969130438045104,176.6,0.5417418721965075,0.5357466063348417,0.5370244276664284,221.0
accuracy,LC14,0.6933754322417268,0.6933754322417268,0.6933754322417268,0.6933754322417268,0.6307973805855162,0.6307973805855162,0.6307973805855162,0.6307973805855162,0.5547511312217195,0.5547511312217195,0.5547511312217195,0.5547511312217195
case,LC14,0.7554163902092458,0.6856296758104738,0.7156974066258276,400.8,0.701476137266304,0.6148712871287129,0.6516455382288331,100.2,0.6039196234331932,0.6208,0.6085642479668489,125.0
control,LC14,0.6343632486155206,0.7034758384228008,0.663736411877958,305.6,0.5668294925868641,0.6520847573479152,0.6033797639060796,76.4,0.4900587084148727,0.46875,0.4742836292058148,96.0
macro avg,LC14,0.6948898194123831,0.6945527571166373,0.6897169092518928,706.4,0.634152814926584,0.633478022238314,0.6275126510674564,176.6,0.5469891659240329,0.544775,0.5414239385863319,221.0
weighted avg,LC14,0.7030357523469914,0.6933754322417268,0.693225522075705,706.4,0.6432919528577977,0.6307973805855162,0.6307114023182256,176.6,0.5544596784478594,0.5547511312217195,0.5502342054281192,221.0
accuracy,LC15,0.6766699656610744,0.6766699656610744,0.6766699656610744,0.6766699656610744,0.5810028248587571,0.5810028248587571,0.5810028248587571,0.5810028248587571,0.5339366515837104,0.5339366515837104,0.5339366515837104,0.5339366515837104
case,LC15,0.7315860852524999,0.6806508728179551,0.7045972436281087,400.8,0.6388888756387401,0.6068316831683168,0.6217046211981754,100.2,0.5937550280910695,0.5551999999999999,0.5729888661383129,125.0
control,LC15,0.6165140455634435,0.6715054109075325,0.6422104411724778,305.6,0.5136379928315412,0.5469241285030758,0.5289407631108642,76.4,0.4674161874103982,0.50625,0.4851881921665287,96.0
macro avg,LC15,0.6740500654079717,0.6760781418627438,0.6734038424002933,706.4,0.5762634342351406,0.5768779058356963,0.5753226921545198,176.6,0.5305856077507339,0.530725,0.5290885291524208,221.0
weighted avg,LC15,0.6818125698555088,0.6766699656610744,0.6775998473378898,706.4,0.584701684154479,0.5810028248587571,0.5816165299643308,176.6,0.5388748077048955,0.5339366515837104,0.5348492068564519,221.0
accuracy,LC16,0.6987542623141311,0.6987542623141311,0.6987542623141311,0.6987542623141311,0.6398433487416538,0.6398433487416538,0.6398433487416538,0.6398433487416538,0.4932126696832579,0.4932126696832579,0.4932126696832579,0.4932126696832579
case,LC16,0.7623957166706801,0.6831371571072319,0.7200101875044537,400.8,0.7108894210650962,0.6149108910891089,0.6558249435786322,100.2,0.559535246518155,0.488,0.5196157381451624,125.0
control,LC16,0.6341017907330511,0.7192392585449481,0.673417018940722,305.6,0.579112843517974,0.6729665071770334,0.6182868927289421,76.4,0.4280630937656691,0.5,0.4599222342142681,96.0
