,,train,train,train,train,test,test,test,test,validation,validation,validation,validation
,,precision,recall,f1-score,support,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,,,,,
accuracy,LC13,0.5721918812682564,0.5721918812682564,0.5721918812682564,0.5721918812682564,0.5175398048279404,0.5175398048279404,0.5175398048279404,0.5175398048279404,0.5004524886877828,0.5004524886877828,0.5004524886877828,0.5004524886877828
case,LC13,0.6378421943917558,0.5688753117206982,0.6013418945532852,400.8,0.5844169246646027,0.517029702970297,0.5481634120904808,100.2,0.5629919989939827,0.5216000000000001,0.5412546482250511,125.0
control,LC13,0.5050231480019909,0.5765520197149898,0.538377562446892,305.6,0.4505832449628843,0.5184552289815447,0.4816711590296496,76.4,0.4316005134769919,0.4729166666666666,0.4510702904266782,96.0
macro avg,LC13,0.5714326711968734,0.572713665717844,0.5698597285000886,706.4,0.5175000848137434,0.5177424659759209,0.5149172855600652,176.6,0.4972962562354873,0.4972583333333332,0.4961624693258646,221.0
weighted avg,LC13,0.580384264986275,0.5721918812682564,0.5741011450192547,706.4,0.5265323790796939,0.5175398048279404,0.5193518384072222,176.6,0.5059169645612627,0.5004524886877828,0.5020795425750791,221.0
accuracy,LC14,0.5526675775630983,0.5526675775630983,0.5526675775630983,0.5526675775630983,0.519857473035439,0.519857473035439,0.519857473035439,0.519857473035439,0.5230769230769231,0.5230769230769231,0.5230769230769231,0.5230769230769231
case,LC14,0.624347501657168,0.5319376558603491,0.5744028557037272,400.8,0.5865095697989163,0.5190495049504951,0.5497319889327377,100.2,0.5831959211347288,0.552,0.5669956514148706,125.0
control,LC14,0.4855872099666523,0.5798478517089896,0.5285100145934919,305.6,0.4530570688273084,0.5210184552289816,0.4837781960936526,76.4,0.4536884039983883,0.4854166666666667,0.4688278855838612,96.0
macro avg,LC14,0.5549673558119101,0.5558927537846694,0.5514564351486095,706.4,0.5197833193131124,0.5200339800897382,0.5167550925131952,176.6,0.5184421625665585,0.5187083333333333,0.5179117684993659,221.0
weighted avg,LC14,0.5643179188733541,0.5526675775630983,0.5545506497722476,706.4,0.5287922285183037,0.519857473035439,0.52118563850466,176.6,0.5269392621071781,0.5230769230769231,0.5243526400131652,221.0
accuracy,LC15,0.5495454199406181,0.5495454199406181,0.5495454199406181,0.5495454199406181,0.4926232665639445,0.4926232665639445,0.4926232665639445,0.4926232665639445,0.490497737556561,0.490497737556561,0.490497737556561,0.490497737556561
case,LC15,0.6252712170333556,0.5169825436408978,0.564929971374755,400.8,0.5634047472593882,0.4671089108910891,0.5101239018521626,100.2,0.5530306146831895,0.5104,0.5300958654899993,125.0
control,LC15,0.4832025143127512,0.5923411550412514,0.5314978639539982,305.6,0.4297172467001688,0.5260082023239918,0.4725451251112062,76.4,0.4221222804204337,0.4645833333333334,0.4416588246402081,96.0
macro avg,LC15,0.5542368656730534,0.5546618493410747,0.5482139176643767,706.4,0.4965609969797784,0.4965585566075404,0.4913345134816845,176.6,0.4875764475518117,0.4874916666666666,0.4858773450651037,221.0
weighted avg,LC15,0.5638148601618046,0.5495454199406181,0.5504497188690367,706.4,0.5055792552765325,0.4926232665639445,0.4938886025475806,176.6,0.4961654559084177,0.490497737556561,0.4916797753471036,221.0
accuracy,LC16,0.5628466448425498,0.5628466448425498,0.5628466448425498,0.5628466448425498,0.4994928094504366,0.4994928094504366,0.4994928094504366,0.4994928094504366,0.5194570135746607,0.5194570135746607,0.5194570135746607,0.5194570135746607
case,LC16,0.6302983008657617,0.5548902743142146,0.5901328683876377,400.8,0.5677388368506892,0.4991287128712871,0.530438689801424,100.2,0.5833266576998899,0.5248,0.5522948909014482,125.0
